,entity1,entity2,cos_sim_score
0,Course1_W5-S2-L9_Summary_1-48,Course2_W7-S1-L3_The_Inverted_Index_10-42,0.09099752133603373
1,Course1_W3-S1-L1_Introduction_0-28,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.31871649433944305
2,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.26493816666111053
3,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.36429774812392335
4,Course1_W4-S2-L1_Introduction_00-17,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,-0.04195817400234683
5,Course1_W8-S2-L6_Summary_1-12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,-0.31148466606036546
6,Course1_W10-S1-L1_Introduction_1-02,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.17921103879317282
7,Course2_W7-S1-L3_The_Inverted_Index_10-42,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.2523669128817074
8,Course1_W5-S2-L9_Summary_1-48,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.18163554943850305
9,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.31757805033812636
10,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,0.3186793294589943
11,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,0.17649076994088106
12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W10-S1-L1_Introduction_1-02,-0.19766569117144378
13,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,Course1_W10-S1-L1_Introduction_1-02,0.09542807079362034
14,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W8-S2-L6_Summary_1-12,-0.31148466606036546
15,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L6_Summary_1-12,0.3439510824037607
16,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,0.061871882832930485
17,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,0.09885588759119687
18,Course1_W4-S2-L1_Introduction_00-17,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.01118095183980133
19,Course1_W5-S2-L9_Summary_1-48,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.20013263467316844
20,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.5049678270883968
21,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.3019565992428641
22,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,-0.03217155225999968
23,Course1_W3-S1-L1_Introduction_0-28,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,0.4031166010878231
24,Course1_W8-S2-L1_Introduction_0-47,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,0.021804268408676712
25,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L1_Introduction_0-47,0.3028459714986072
